canonical_name,total_mentions,model_count,google_name,match_score,google_rating,google_reviews,price_level,business_status,address
Odette,100,4,Odette,100.0,4.7,1379,4,OPERATIONAL,"1 St Andrew's Rd, #01-04 National Gallery, Singapore 178957"
Burnt Ends,98,4,Burnt Ends,100.0,4.5,2515,3,OPERATIONAL,"7 Dempsey Rd, #01-02, Singapore 249671"
Candlenut,63,4,Candlenut,100.0,4.4,1984,4,OPERATIONAL,"17a Dempsey Rd, Singapore 249676"
Lau Pa Sat,63,4,Lau Pa Sat,100.0,4.4,37131,,OPERATIONAL,"18 Raffles Quay, Singapore 048582"
Cloudstreet,53,4,Cloudstreet,100.0,4.7,374,4,OPERATIONAL,"84 Amoy St, Singapore 069903"
Maxwell Food Centre,53,4,Maxwell Food Centre,100.0,4.4,22663,1,OPERATIONAL,"1 Kadayanallur St, Singapore 069184"
328 Katong Laksa,43,4,328 Katong Laksa,100.0,3.9,3747,2,OPERATIONAL,"51 E Coast Rd, Singapore 428770"
CÉ LA VI,43,4,CÉ LA VI Singapore,100.0,4.3,9930,4,OPERATIONAL,"1 Bayfront Avenue, Hotel, Tower 3 Marina Bay Sands, Singapore 018971"
Tian Tian Hainanese Chicken Rice,41,4,Tian Tian Hainanese Chicken Rice,100.0,3.9,6117,1,OPERATIONAL,"1 Kadayanallur St, #01-10/11 Maxwell Food Centre, Singapore 069184"
Jaan by Kirk Westaway,36,4,JAAN By Kirk Westaway,100.0,4.6,702,4,OPERATIONAL,"2 Stamford Rd, Level 70, Singapore 178882"
Tiong Bahru Bakery,33,4,Tiong Bahru Bakery,100.0,4.3,3265,2,OPERATIONAL,"56 Eng Hoon St, #01-70, Singapore 160056"
Les Amis,31,4,Les Amis,100.0,4.6,924,4,OPERATIONAL,"1 Scotts Rd, #01 - 16 Shaw Centre, Singapore 228208"
Newton Food Centre,30,4,Newton Food Centre,100.0,4.2,14793,,OPERATIONAL,"500 Clemenceau Ave N, Singapore 229495"
LeVeL33,29,4,LeVeL33,100.0,4.4,4142,3,OPERATIONAL,"8 Marina Blvd, #33 - 01 Tower 1, Singapore 018981"
Din Tai Fung,28,4,Din Tai Fung,100.0,4.4,1986,2,OPERATIONAL,"290 Orchard Rd, #B1 - 03, Singapore 238859"
Whole Earth,27,4,Whole Earth,100.0,4.4,1384,3,OPERATIONAL,"76 Peck Seah St, Singapore 079331"
Ya Kun Kaya Toast,27,4,Ya Kun Kaya Toast,100.0,4.0,470,1,OPERATIONAL,"290 Orchard Rd, B1-38, Singapore 238859"
Nouri,25,4,Nouri,100.0,4.6,452,,OPERATIONAL,"72 Amoy St, Singapore 069891"
Old Airport Road Food Centre,24,4,Old Airport Road Food Centre,100.0,4.3,12529,1,OPERATIONAL,"51 Old Airport Rd, Singapore 390051"
Neon Pigeon,23,4,Neon Pigeon,100.0,4.4,991,3,OPERATIONAL,"36 Carpenter St, #01-01, Singapore 059915"
Artichoke,22,3,Artichoke,100.0,4.3,1767,2,OPERATIONAL,"46 Kim Yam Rd, #01-02 New Bahru, Singapore 239351"
Zen,22,4,Zén,100.0,4.5,363,4,OPERATIONAL,"41 Bukit Pasoh Rd, Singapore 089855"
Wild Honey,22,4,Wild Honey Mandarin Gallery,100.0,4.3,2182,3,OPERATIONAL,"333A Orchard Rd, #03 - 01 / 02, Singapore 238897"
CUT by Wolfgang Puck,21,4,CUT by Wolfgang Puck,100.0,4.6,1899,4,OPERATIONAL,"10 Bayfront Ave, B1-71 The Shoppes, Marina Bay Sands, Singapore 018956"
The Blue Ginger,20,4,The Blue Ginger,100.0,4.2,1151,3,OPERATIONAL,"97 Tg Pagar Rd, Singapore 088518"
Guan Hoe Soon Restaurant,20,4,Guan Hoe Soon Restaurant,100.0,3.9,544,2,OPERATIONAL,"200 Joo Chiat Rd, #01-01, Singapore 427471"
LAVO Italian Restaurant & Rooftop Bar,20,4,LAVO Italian Restaurant And Rooftop Bar,100.0,4.3,5746,4,OPERATIONAL,"10 Bayfront Avenue, Marina Bay Sands, Hotel, Level 57 Tower 1, Singapore 018956"
The Butcher's Wife,20,4,The Butcher's Wife,100.0,4.5,1123,,OPERATIONAL,"19 Yong Siak St, Singapore 168650"
Waku Ghin,20,4,Waku Ghin,100.0,4.2,356,4,OPERATIONAL,"10 Bayfront Ave, #02-03 The Shoppes, Marina Bay Sands, Singapore 018956"
The Banana Leaf Apolo,19,4,The Banana Leaf Apolo,100.0,4.1,4253,2,OPERATIONAL,"54 Race Course Rd, Singapore 218564"
Song Fa Bak Kut Teh,19,4,Song Fa Bak Kut Teh JEM,90.5,4.5,975,2,OPERATIONAL,"50 Jurong Gateway Rd, #B1-09, Singapore 608549"
Muthu's Curry,18,4,Muthu's Curry,100.0,4.1,3135,2,OPERATIONAL,"138 Race Course Rd, #01-01, Singapore 218591"
Thevar,18,3,Thevar,100.0,4.6,480,,OPERATIONAL,"16 Mohamed Sultan Rd, Singapore 238965"
Food Republic,17,4,Food Republic,100.0,3.8,1647,,OPERATIONAL,"1 Woodlands Sq, #04-01/02/03/04 Causeway Point, Singapore 738099"
The Summerhouse,17,4,The Summerhouse,100.0,4.3,1659,3,OPERATIONAL,"3 Park Ln, Singapore 798387"
Tiong Bahru Market,17,4,Tiong Bahru Market,100.0,4.3,10774,1,OPERATIONAL,"30 Seng Poh Rd, Singapore 168898"
Shoukouwa,17,4,Shoukouwa Restaurant,100.0,4.6,199,4,OPERATIONAL,"1 Fullerton Rd, #02-02A One Fullerton, Singapore 049213"
